category_id,drink_id,drink_name,drink_en_name,drink_content,drink_zoomimg,drink_nutrition_info,kcal,fat,protein,sodium,sugars,caffeine,allergy,,,,,,,,
3,18,아이스 블론드 카라멜 클라우드 마키아또,Iced Blonde Caramel Cloud Macchiato ,"블론드 에스프레소 위에 부드러운 클라우드 콜드 폼, 달콤한 카라멜 드리즐로 완성한 블론드 카라멜 클라우드 마키아또를 즐겨보세요! ",http://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002587]_20191111140424942.jpg,Tall(톨) / 355ml (12 fl oz),215,2.5,8,280,33,170,우유,,,,,,,,
3,19,아이스 블론드 코코아 클라우드 마키아또,Iced Blonde Cocoa Cloud Macchiato,"블론드 에스프레소에 부드러운 클라우드 콜드 폼, 코코아 드리즐로 완성한 블론드 코코아 클라우드를 즐겨보세요!",http://image.istarbucks.co.kr/upload/store/skuimg/2019/11/[9200000002591]_20191111140547113.jpg,Tall(톨) / 355ml (12 fl oz),220,2.4,8,310,35,170,우유,,,,,,,,
3,20,아이스 카라멜 마키아또,Iced Caramel Macchiato,"바닐라 시럽, 시원한 우유에 얼음과 에스프레소 샷, 카라멜 드리즐이 어우러진 음료",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110582]_20150803101947416.jpg,Tall(톨) / 355ml (12 fl oz),190,4.6,6,110,21,75,우유,,,,,,,,
3,21,카라멜 마키아또,Caramel Macchiato,"바닐라 시럽과 우유, 그리고 그 위에 얹어진 에스프레소 샷과 달콤한 카라멜 드리즐의 조화",http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[126197]_20150813215717246.jpg,Tall(톨) / 355ml (12 fl oz),200,5,8,130,22,75,우유,,,,,,,,
3,22,아이스 카푸치노,Iced Cappuccino,에스프레소 샷과 시원한 우유에 부드러운 우유 거품이 얹어진 시원한 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110601]_20150803101742023.jpg,Tall(톨) / 355ml (12 fl oz),115,3.5,6,90,9,75,우유,,,,,,,,
3,23,카푸치노,Cappuccino,벨벳같은 우유 거품과 에스프레소 샷의 절묘한 조화!,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[38]_20150821164230299.jpg,Tall(톨) / 355ml (12 fl oz),110,3,6,70,8,75,우유,,,,,,,,
3,24,라벤더 카페 브레베,Lavender Cafe Breve,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2016/12/[9200000000432]_20161213140957559.jpg,Tall(톨) / 355ml (12 fl oz),406,22,7,140,30,75,우유,,,,,,,,
3,25,럼 샷 코르타도,Rum Shot Cortado,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 최고의 리저브 에스프레소 샷, 스팀 밀크 그리고 럼이 짙게 어우러진 스타벅스 리저브 만의 코르타도입니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2017/12/[9200000001086]_20171218135157850.jpg,Short(숏) / 237ml (8 fl oz),70,1.8,3,45,8,75,우유,,,,,,,,
3,26,스타벅스 돌체 라떼,Starbucks Dolce Latte,깊은 에스프레소와 깔끔한 무지방 우유가 어우러진 달콤한 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[128692]_20150723020548416.jpg,Tall(톨) / 355ml (12 fl oz),255,2.5,12,190,39,150,우유,,,,,,,,
3,27,아이스 라벤더 카페 브레베,Iced Lavender Cafe Breve,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다.",http://image.istarbucks.co.kr/upload/store/skuimg/2016/12/[9200000000433]_20161213162207696.jpg,Tall(톨) / 355ml (12 fl oz),335,18,6,110,27,75,우유,,,,,,,,
3,28,아이스 스타벅스 돌체 라떼,Iced Starbucks Dolce Latte,커피 향과 부드러움의 조화가 아주 멋진 아이스 커피 입니다.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[128695]_20150803100201917.jpg,Tall(톨) / 355ml (12 fl oz),230,2.5,10,145,35,150,우유,,,,,,,,
3,29,아이스 카페 라떼,Iced Caffe Latte,에스프레소 샷과 시원한 우유와 얼음으로 고소한 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110569]_20150813221315652.jpg,Tall(톨) / 355ml (12 fl oz),110,3.5,6,75,8,75,우유,,,,,,,,
3,30,카페 라떼,Caffe Latte,에스프레소 샷과 따뜻한 우유와 거품으로 마무리된 음료.,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[41]_20150813221357154.jpg,Tall(톨) / 355ml (12 fl oz),180,5,10,115,13,75,우유,,,,,,,,
